# HOST_SUBFIND_ID  MASSIVE_SAT_SUBFIND_ID  SNAP_NUM; data can be accessed from http://www.illustris-project.org/data/
297350  297354  116
313086  313088  116
316474  316481  116
326192  326194  116
338989  338992  116
346755  346758  116
350224  350227  116
354248  354249  116
354676  354678  116
356159  356161  116
361604  361608  116
361930  361931  116
368095  368098  116
368687  368688  116
369807  369808  116
372799  372800  116
375446  375447  116
376301  376303  116
376997  376999  116
377561  377563  116
377792  377797  116
379362  379366  116
380383  380384  116
382446  382451  116
382932  382934  116
386154  386158  116
386883  386884  116
387283  387284  116
387764  387765  116
388586  388588  116
389824  389826  116
391515  391516  116
391695  391696  116
393210  393211  116
393395  393397  116
394068  394070  116
395718  395721  116
395930  395932  116
397943  397944  116
399443  399444  116
401058  401059  116
401676  401679  116
402164  402166  116
402323  402325  116
402534  402537  116
402709  402710  116
404261  404263  116
404847  404849  116
405054  405058  116
405453  405455  116
405583  405585  116
406104  406107  116
406673  406677  116
406859  406860  116
407049  407050  116
407997  408000  116
408185  408186  116
409148  409150  116
409580  409582  116
409899  409900  116
410306  410309  116
410571  410572  116
410932  410936  116
412257  412259  116
413128  413130  116
413462  413464  116
413695  413697  116
414030  414031  116
415687  415689  116
416037  416038  116
416228  416230  116
416397  416399  116
417328  417329  116
417486  417487  116
417800  417802  116
418433  418435  116
420079  420081  116
420648  420649  116
421322  421323  116
422029  422030  116
422430  422431  116
423204  423205  116
423568  423570  116
424859  424862  116
425476  425477  116
425834  425835  116
426168  426170  116
426806  426807  116
428286  428287  116
428448  428449  116
429670  429672  116
430676  430677  116
430854  430855  116
431577  431578  116
433028  433029  116
433201  433203  116
433386  433387  116
434142  434144  116
434613  434614  116
434937  434938  116
435469  435470  116
435812  435813  116
436177  436179  116
436321  436324  116
436673  436675  116
437461  437462  116
437851  437853  116
438025  438026  116
438755  438758  116
439101  439104  116
439445  439446  116
439746  439747  116
440514  440517  116
441224  441226  116
441427  441428  116
441856  441857  116
442843  442849  116
443137  443139  116
443484  443486  116
444379  444380  116
444712  444713  116
444939  444940  116
445604  445605  116
445857  445858  116
446504  446505  116
446630  446634  116
447024  447025  116
447218  447220  116
447375  447377  116
447667  447669  116
448602  448603  116
448754  448759  116
449870  449871  116
450194  450195  116
450332  450333  116
451108  451109  116
451397  451398  116
451638  451640  116
451988  451989  116
452126  452128  116
452276  452277  116
452919  452922  116
453498  453499  116
453740  453743  116
454024  454025  116
455182  455183  116
455678  455679  116
455858  455859  116
456367  456368  116
456679  456680  116
457066  457068  116
457178  457179  116
457710  457711  116
457873  457874  116
458346  458348  116
458555  458556  116
459153  459154  116
459553  459556  116
460401  460402  116
460774  460776  116
461231  461234  116
461806  461807  116
461990  461993  116
462595  462596  116
463061  463062  116
463181  463183  116
463504  463506  116
464599  464601  116
464981  464982  116
465223  465225  116
465513  465514  116
465609  465610  116
465996  465997  116
466248  466250  116
466529  466530  116
466917  466920  116
467425  467426  116
468229  468230  116
468505  468508  116
468937  468938  116
469171  469172  116
469256  469258  116
469674  469675  116
470034  470036  116
470452  470453  116
470564  470565  116
470786  470787  116
471002  471003  116
471905  471906  116
472148  472149  116
472538  472541  116
472635  472637  116
473395  473396  116
473472  473473  116
473715  473716  116
473815  473816  116
474107  474108  116
474237  474238  116
474555  474556  116
474752  474756  116
475397  475398  116
475519  475521  116
475960  475961  116
476034  476036  116
476590  476591  116
476684  476685  116
477235  477236  116
477376  477378  116
477734  477735  116
477833  477834  116
478040  478042  116
478160  478162  116
478316  478318  116
478431  478432  116
478700  478703  116
479069  479070  116
479164  479166  116
479525  479526  116
479994  479995  116
480143  480148  116
480337  480338  116
480696  480699  116
480915  480916  116
481994  481995  116
482185  482186  116
483371  483372  116
483472  483473  116
483726  483727  116
483942  483944  116
484393  484395  116
484513  484514  116
484690  484693  116
485199  485200  116
485405  485409  116
485618  485619  116
485803  485805  116
485893  485895  116
486294  486295  116
486749  486752  116
486994  486995  116
487249  487250  116
487361  487362  116
488094  488095  116
488349  488350  116
488425  488426  116
488535  488536  116
488703  488704  116
489288  489289  116
489602  489604  116
489730  489731  116
489986  489988  116
490156  490157  116
490312  490313  116
490517  490518  116
490960  490961  116
491115  491117  116
491195  491196  116
491315  491316  116
491728  491729  116
492348  492349  116
492526  492527  116
492591  492592  116
492899  492901  116
493381  493383  116
493485  493486  116
493665  493667  116
494468  494471  116
495126  495127  116
495422  495423  116
496273  496275  116
496365  496366  116
496477  496478  116
496799  496800  116
497136  497137  116
497478  497482  116
497646  497647  116
497984  497985  116
498080  498081  116
498624  498626  116
498817  498818  116
498872  498873  116
499387  499391  116
499472  499473  116
499548  499549  116
499791  499794  116
500296  500297  116
500371  500372  116
500443  500444  116
500682  500684  116
500787  500788  116
500863  500865  116
500985  500986  116
501503  501504  116
502179  502182  116
502318  502319  116
502422  502423  116
502488  502489  116
502563  502564  116
502656  502659  116
503158  503159  116
503244  503245  116
504053  504054  116
504224  504225  116
504267  504270  116
504353  504355  116
505140  505141  116
505334  505335  116
505610  505611  116
505676  505678  116
506181  506184  116
506416  506417  116
506507  506509  116
506595  506596  116
507239  507240  116
507527  507528  116
507751  507752  116
507836  507837  116
507993  507994  116
508143  508144  116
508393  508396  116
508495  508496  116
508572  508573  116
508650  508651  116
508983  508984  116
509158  509159  116
509273  509274  116
509807  509808  116
509948  509949  116
509998  509999  116
510672  510674  116
510810  510811  116
510893  510896  116
511036  511037  116
511249  511250  116
511344  511345  116
511508  511509  116
511640  511642  116
511723  511724  116
512209  512210  116
512399  512400  116
512446  512449  116
512600  512601  116
512732  512734  116
512945  512946  116
513160  513162  116
513427  513428  116
513882  513883  116
514195  514196  116
514480  514481  116
515031  515034  116
515266  515267  116
515702  515703  116
516053  516054  116
516100  516101  116
516578  516580  116
516670  516671  116
517192  517193  116
517270  517271  116
517348  517350  116
517542  517544  116
518119  518120  116
518319  518320  116
518814  518815  116
519009  519010  116
519073  519075  116
519276  519279  116
519417  519418  116
519883  519884  116
520012  520016  116
520278  520279  116
520325  520326  116
520388  520389  116
520977  520978  116
521057  521058  116
521211  521212  116
521502  521503  116
521695  521696  116
521817  521818  116
521870  521871  116
522353  522355  116
522424  522425  116
522582  522583  116
522704  522705  116
523010  523011  116
523422  523423  116
523918  523920  116
523983  523984  116
524068  524069  116
