# HOST_SUBFIND_ID  LOWMASS_SAT_SUBFIND_ID  SNAP_NUM; data can be accessed from http://www.illustris-project.org/data/
297350  297364  116
297350  297365  116
313086  313098  116
313086  313100  116
316474  316486  116
326192  326202  116
326192  326206  116
326192  326207  116
338989  339001  116
346755  346770  116
350224  350232  116
350224  350236  116
350224  350237  116
350224  350238  116
354248  354262  116
354676  354683  116
354676  354686  116
354676  354687  116
354676  354690  116
356159  356166  116
356159  356169  116
356159  356174  116
361604  361613  116
361604  361614  116
361604  361617  116
361604  361618  116
361930  361940  116
361930  361942  116
368095  368104  116
368095  368107  116
368095  368109  116
368687  368695  116
368687  368696  116
368687  368699  116
368687  368700  116
368687  368701  116
368687  368702  116
369807  369817  116
369807  369818  116
369807  369821  116
369807  369822  116
372799  372805  116
372799  372806  116
372799  372807  116
372799  372808  116
372799  372810  116
372799  372812  116
372799  372813  116
372799  372814  116
375446  375454  116
375446  375459  116
375446  375461  116
376301  376308  116
376301  376309  116
376301  376310  116
376301  376311  116
376301  376312  116
376301  376313  116
376301  376314  116
376301  376316  116
376997  377007  116
376997  377010  116
376997  377011  116
376997  377012  116
377561  377576  116
377792  377801  116
377792  377803  116
377792  377805  116
377792  377806  116
379362  379375  116
379362  379377  116
380383  380390  116
380383  380391  116
380383  380392  116
380383  380394  116
380383  380398  116
382446  382458  116
382446  382460  116
382446  382461  116
382932  382940  116
382932  382941  116
382932  382942  116
382932  382944  116
382932  382945  116
382932  382946  116
382932  382947  116
386154  386164  116
386154  386165  116
386154  386169  116
386883  386893  116
386883  386894  116
386883  386895  116
386883  386896  116
386883  386897  116
387283  387291  116
387283  387293  116
387283  387295  116
387283  387296  116
387283  387297  116
387764  387774  116
387764  387775  116
387764  387776  116
387764  387777  116
387764  387778  116
387764  387779  116
388586  388599  116
388586  388600  116
388586  388601  116
389824  389835  116
389824  389837  116
389824  389838  116
391515  391524  116
391515  391530  116
391695  391704  116
391695  391705  116
391695  391706  116
391695  391708  116
391695  391709  116
391695  391710  116
393210  393216  116
393210  393219  116
393210  393221  116
393210  393222  116
393210  393223  116
393210  393224  116
393210  393225  116
393395  393403  116
393395  393410  116
394068  394079  116
394068  394082  116
395718  395731  116
395718  395732  116
395930  395936  116
395930  395938  116
395930  395941  116
395930  395942  116
395930  395943  116
395930  395944  116
397943  397951  116
397943  397953  116
397943  397956  116
397943  397957  116
397943  397958  116
399443  399449  116
399443  399450  116
399443  399451  116
399443  399452  116
399443  399454  116
399443  399455  116
399443  399456  116
399443  399457  116
399443  399458  116
401058  401062  116
401058  401067  116
401058  401068  116
401058  401069  116
401058  401070  116
401058  401071  116
401058  401072  116
401058  401073  116
401676  401691  116
402164  402172  116
402164  402174  116
402164  402178  116
402323  402328  116
402323  402329  116
402323  402333  116
402323  402335  116
402323  402336  116
402323  402337  116
402534  402541  116
402534  402542  116
402534  402544  116
402534  402546  116
402534  402548  116
402534  402549  116
402709  402714  116
402709  402716  116
402709  402718  116
402709  402719  116
402709  402720  116
402709  402721  116
402709  402722  116
402709  402723  116
402709  402724  116
404261  404271  116
404261  404272  116
404261  404274  116
404261  404275  116
404261  404276  116
404847  404855  116
404847  404856  116
404847  404859  116
404847  404860  116
404847  404862  116
405054  405061  116
405054  405064  116
405054  405065  116
405054  405066  116
405054  405067  116
405054  405069  116
405453  405459  116
405453  405460  116
405453  405461  116
405453  405462  116
405453  405464  116
405453  405465  116
405453  405467  116
405453  405468  116
405583  405595  116
405583  405596  116
406104  406109  116
406104  406110  116
406104  406111  116
406104  406113  116
406104  406114  116
406104  406115  116
406104  406117  116
406104  406118  116
406104  406119  116
406673  406685  116
406673  406686  116
406673  406688  116
406859  406869  116
406859  406870  116
406859  406872  116
406859  406874  116
407049  407057  116
407049  407058  116
407049  407060  116
407049  407061  116
407049  407062  116
407049  407063  116
407049  407064  116
407997  408003  116
407997  408007  116
407997  408009  116
407997  408012  116
408185  408188  116
408185  408194  116
408185  408198  116
408185  408200  116
409148  409155  116
409148  409158  116
409148  409162  116
409148  409163  116
409580  409585  116
409580  409587  116
409580  409589  116
409580  409592  116
409580  409593  116
409580  409595  116
409899  409905  116
409899  409908  116
409899  409910  116
409899  409911  116
409899  409912  116
410306  410314  116
410306  410316  116
410306  410318  116
410306  410320  116
410571  410580  116
410571  410581  116
410571  410583  116
410571  410586  116
410932  410943  116
410932  410945  116
410932  410946  116
410932  410947  116
412257  412268  116
412257  412270  116
412257  412271  116
412257  412272  116
413128  413136  116
413128  413139  116
413128  413140  116
413128  413142  116
413462  413470  116
413462  413472  116
413462  413474  116
413462  413475  116
413462  413476  116
413462  413477  116
413695  413700  116
413695  413701  116
413695  413702  116
413695  413704  116
413695  413705  116
413695  413706  116
413695  413707  116
413695  413708  116
413695  413709  116
413695  413710  116
414030  414038  116
414030  414039  116
414030  414040  116
414030  414041  116
414030  414043  116
414030  414044  116
414030  414045  116
415687  415700  116
415687  415701  116
416037  416048  116
416037  416052  116
416228  416233  116
416228  416234  116
416228  416236  116
416228  416237  116
416228  416238  116
416228  416239  116
416228  416240  116
416228  416241  116
416228  416242  116
416228  416243  116
416397  416410  116
416397  416411  116
417328  417335  116
417328  417339  116
417328  417341  116
417328  417343  116
417486  417489  116
417486  417491  116
417486  417494  116
417486  417495  116
417486  417496  116
417486  417497  116
417486  417498  116
417486  417499  116
417486  417500  116
417486  417501  116
417800  417811  116
417800  417813  116
417800  417815  116
418433  418447  116
420079  420090  116
420079  420093  116
420079  420094  116
420648  420660  116
420648  420663  116
421322  421327  116
421322  421329  116
421322  421330  116
421322  421331  116
421322  421332  116
421322  421333  116
421322  421334  116
421322  421335  116
421322  421336  116
421322  421337  116
422029  422034  116
422029  422035  116
422029  422036  116
422029  422037  116
422029  422038  116
422029  422039  116
422029  422041  116
422029  422042  116
422029  422043  116
422430  422434  116
422430  422435  116
422430  422436  116
422430  422438  116
422430  422439  116
422430  422440  116
422430  422442  116
422430  422444  116
422430  422445  116
423204  423210  116
423204  423212  116
423204  423213  116
423204  423215  116
423204  423216  116
423204  423218  116
423204  423219  116
423568  423574  116
423568  423575  116
423568  423576  116
423568  423579  116
423568  423581  116
423568  423582  116
423568  423583  116
424859  424870  116
424859  424872  116
425476  425480  116
425476  425483  116
425476  425484  116
425476  425485  116
425476  425488  116
425476  425489  116
425476  425490  116
425476  425491  116
425834  425837  116
425834  425839  116
425834  425841  116
425834  425842  116
425834  425843  116
425834  425844  116
425834  425845  116
425834  425846  116
425834  425847  116
425834  425848  116
425834  425849  116
426168  426174  116
426168  426177  116
426168  426179  116
426168  426180  116
426168  426182  116
426168  426183  116
426806  426810  116
426806  426811  116
426806  426812  116
426806  426813  116
426806  426814  116
426806  426815  116
426806  426816  116
426806  426817  116
426806  426818  116
426806  426819  116
426806  426821  116
428286  428290  116
428286  428293  116
428286  428294  116
428286  428295  116
428286  428297  116
428286  428298  116
428286  428299  116
428286  428300  116
428286  428301  116
428448  428456  116
428448  428457  116
428448  428458  116
428448  428460  116
428448  428461  116
428448  428462  116
429670  429676  116
429670  429680  116
429670  429681  116
429670  429682  116
429670  429683  116
429670  429684  116
430676  430682  116
430676  430684  116
430676  430686  116
430676  430687  116
430676  430688  116
430676  430689  116
430854  430858  116
430854  430859  116
430854  430860  116
430854  430861  116
430854  430862  116
430854  430863  116
430854  430865  116
430854  430867  116
430854  430868  116
430854  430869  116
431577  431586  116
431577  431589  116
431577  431590  116
431577  431591  116
431577  431592  116
433028  433031  116
433028  433034  116
433028  433035  116
433028  433036  116
433028  433037  116
433028  433038  116
433028  433039  116
433028  433040  116
433028  433041  116
433028  433042  116
433028  433043  116
433201  433210  116
433201  433211  116
433201  433213  116
433201  433215  116
433201  433216  116
433386  433392  116
433386  433393  116
433386  433396  116
433386  433397  116
433386  433399  116
433386  433400  116
433386  433401  116
434142  434153  116
434142  434154  116
434142  434157  116
434613  434624  116
434613  434626  116
434613  434627  116
434613  434628  116
434937  434948  116
434937  434949  116
435469  435476  116
435469  435477  116
435469  435478  116
435469  435479  116
435469  435481  116
435469  435482  116
435469  435483  116
435469  435484  116
435812  435820  116
435812  435821  116
435812  435822  116
435812  435824  116
435812  435825  116
436177  436184  116
436177  436188  116
436177  436189  116
436177  436190  116
436177  436191  116
436177  436192  116
436321  436332  116
436673  436683  116
436673  436684  116
436673  436685  116
436673  436688  116
437461  437472  116
437461  437473  116
437461  437474  116
437461  437475  116
437461  437476  116
437851  437860  116
437851  437861  116
437851  437862  116
437851  437863  116
437851  437864  116
437851  437865  116
437851  437866  116
438025  438029  116
438025  438031  116
438025  438032  116
438025  438033  116
438025  438034  116
438025  438035  116
438025  438036  116
438025  438037  116
438025  438039  116
438025  438040  116
438755  438768  116
